2016-03-13 10:47:51+0300 [-] Log opened.
2016-03-13 10:47:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:48:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:48:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:48:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:48:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:48:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:48:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:49:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:49:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:49:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:49:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:49:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:49:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:50:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:50:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:50:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:50:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:50:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:50:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:51:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:51:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:51:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:51:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:51:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:51:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:52:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:52:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:52:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:52:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:52:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:52:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:53:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:53:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:53:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:53:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:53:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:53:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:54:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:54:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:54:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:54:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:54:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:54:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:55:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:55:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:55:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:55:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:55:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:55:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:56:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:56:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:56:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:56:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:56:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:56:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:57:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:57:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:57:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:57:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:57:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:57:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:58:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:58:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:58:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:58:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:58:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:58:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:59:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:59:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:59:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:59:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:59:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 10:59:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:00:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:00:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:00:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:00:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:00:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:00:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:01:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:01:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:01:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:01:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:01:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:03:51+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:04:01+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:04:11+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:04:21+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:04:31+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:04:42+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:04:52+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:05:02+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:05:12+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:05:22+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:05:32+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:05:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:05:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:54+0300 [-] Received SIGINT, shutting down.
